,artist,style,museum_name,museum_location,museum_link
0,Georges Braque,cubism,Art Institute of Chicago,,http://www.artcyclopedia.com/scripts/r.pl?R053+359
1,Georges Braque,cubism,Dallas Museum of Art,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+207
2,Georges Braque,cubism,Fine Arts Museums of San Francisco,,http://www.artcyclopedia.com/scripts/r.pl?RA87+381
3,Georges Braque,cubism,Guggenheim Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+364
4,Georges Braque,cubism,Louvre Museum Database,Paris,http://cartelen.louvre.fr/cartelen/visite?srv=rs_display_res&critere=Georges+Braque&operator=AND&photoOnly=true&nbToDisplay=20&langue=fr
5,Georges Braque,cubism,Metropolitan Museum of Art,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Braque%2c+Georges%24Georges+Braque&pg=1
6,Georges Braque,cubism,Museum of Fine Arts,"Houston, Texas",http://www.artcyclopedia.com/scripts/r.pl?R117+114
7,Georges Braque,cubism,Museum of Fine Arts,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO37+51
8,Georges Braque,cubism,Museum of Modern Art,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+1325
9,Georges Braque,cubism,National Galleries of Scotland,Edinburgh,http://www.artcyclopedia.com/scripts/r.pl?RK91+51
10,Georges Braque,cubism,National Gallery of Art,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1027.html?artobj_artistId=1027&pageNumber=1
11,Georges Braque,cubism,National Gallery of Canada,Ottawa,http://www.artcyclopedia.com/scripts/r.pl?R487+350
12,Georges Braque,cubism,Norton Simon Museum,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+49
13,Georges Braque,cubism,Peggy Guggenheim Collection,Venice,http://www.artcyclopedia.com/scripts/r.pl?R622+29
14,Georges Braque,cubism,Réunion des Musées Nationaux,France ,http://www.artcyclopedia.com/scripts/r.pl?RP02+25
15,Georges Braque,cubism,San Francisco Museum of Modern Art,,http://www.artcyclopedia.com/scripts/r.pl?R498+76
16,Georges Braque,cubism,Tate Gallery,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+1350
17,Georges Braque,cubism,Art Collection of the Biblioteca Luis Ángel Arango,Colombia,http://www.artcyclopedia.com/scripts/r.pl?RH21+10
18,Georges Braque,cubism,Art Gallery of New South Wales,"Sydney, Australia",http://www.artcyclopedia.com/scripts/r.pl?R908+24
