,artist,style,museum_name,museum_location,museum_link
0,Wassily Kandinsky,expressionism,Art Institute of Chicago,,http://www.artcyclopedia.com/scripts/r.pl?R053+1325
1,Wassily Kandinsky,expressionism,Art Institute of Chicago,,http://www.artcyclopedia.com/scripts/r.pl?R053+1326
2,Wassily Kandinsky,expressionism,Dallas Museum of Art,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+588
3,Wassily Kandinsky,expressionism,Fine Arts Museums of San Francisco,,http://www.artcyclopedia.com/scripts/r.pl?RA87+1172
4,Wassily Kandinsky,expressionism,Guggenheim Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+152
5,Wassily Kandinsky,expressionism,Hermitage Museum,"Saint Petersburg, Russia",http://www.artcyclopedia.com/scripts/r.pl?R126+462
6,Wassily Kandinsky,expressionism,Metropolitan Museum of Art ,,http://www.metmuseum.org/toah/hi/hi_kandinskywassily.htm
7,Wassily Kandinsky,expressionism,Museum of Fine Arts,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO37+245
8,Wassily Kandinsky,expressionism,Museum of Modern Art,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+469
9,Wassily Kandinsky,expressionism,National Gallery of Art,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1431.html?artobj_artistId=1431&pageNumber=1
10,Wassily Kandinsky,expressionism,Norton Simon Museum,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+179
11,Wassily Kandinsky,expressionism,Peggy Guggenheim Collection,Venice,http://www.artcyclopedia.com/scripts/r.pl?R622+184
12,Wassily Kandinsky,expressionism,San Francisco Museum of Modern Art,,http://www.artcyclopedia.com/scripts/r.pl?R498+232
13,Wassily Kandinsky,expressionism,Tate Gallery,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+191
14,Wassily Kandinsky,expressionism,Yale University Art Gallery,"New Haven, Connecticut",http://www.artcyclopedia.com/scripts/r.pl?RH51+86
15,Wassily Kandinsky,expressionism,Aichi Prefectural Museum of Art,Japan,http://www.artcyclopedia.com/scripts/r.pl?R806+16
16,Wassily Kandinsky,expressionism,Art Gallery of New South Wales,"Sydney, Australia",http://www.artcyclopedia.com/scripts/r.pl?R908+135
17,Wassily Kandinsky,expressionism,Ashmolean Museum at the University of Oxford,UK,http://www.artcyclopedia.com/scripts/r.pl?RF15+233
18,Wassily Kandinsky,expressionism,Ball State Museum of Art,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R737+92
19,Wassily Kandinsky,expressionism,Bauhaus-Archiv Museum of Design,Berlin,http://www.artcyclopedia.com/scripts/r.pl?RF14+10
20,Wassily Kandinsky,expressionism,Beyeler Foundation Collection,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?RA13+9
21,Wassily Kandinsky,expressionism,Blanton Museum of Art at the University of Texas,Austin,http://www.artcyclopedia.com/scripts/r.pl?RK37+46
22,Wassily Kandinsky,expressionism,Block Museum of Art at Northwestern University,Illinois,http://www.artcyclopedia.com/scripts/r.pl?R301+48
23,Wassily Kandinsky,expressionism,Brooklyn Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R132+250
24,Wassily Kandinsky,expressionism,Caixa Galicia Foundation,"Vigo, Spain ",http://www.artcyclopedia.com/scripts/r.pl?RN61+28
25,Wassily Kandinsky,expressionism,Carlos Museum at Emory University,Georgia,http://www.artcyclopedia.com/scripts/r.pl?R147+8
26,Wassily Kandinsky,expressionism,Centre Pompidou,Paris,http://www.artcyclopedia.com/scripts/r.pl?RH02+4
27,Wassily Kandinsky,expressionism,Centre Pompidou,Paris ,http://www.artcyclopedia.com/scripts/r.pl?RR86+10
28,Wassily Kandinsky,expressionism,Centre Pompidou,Paris ,http://www.artcyclopedia.com/scripts/r.pl?RR86+11
29,Wassily Kandinsky,expressionism,Cincinnati Art Museum,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R005+93
30,Wassily Kandinsky,expressionism,Cleveland Museum of Art,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R007+1112
31,Wassily Kandinsky,expressionism,Davison Art Center at Wesleyan University,Connecticut,http://www.artcyclopedia.com/scripts/r.pl?R195+13
32,Wassily Kandinsky,expressionism,Didrichsen Art Museum,"Helsinki, Finland",http://www.artcyclopedia.com/scripts/r.pl?RA49+2
33,Wassily Kandinsky,expressionism,Folkwang Museum,"Essen, Germany ",http://www.artcyclopedia.com/scripts/r.pl?RA11+13
34,Wassily Kandinsky,expressionism,Folkwang Museum,"Essen, Germany ",http://www.artcyclopedia.com/scripts/r.pl?RA11+8
35,Wassily Kandinsky,expressionism,Galleria Nazionale d'Arte Moderna e Contemporanea,Rome ,http://www.artcyclopedia.com/scripts/r.pl?RE87+25
36,Wassily Kandinsky,expressionism,Gallerie di Palazzo Leoni Montanari,"Vicenza, Italy",http://www.artcyclopedia.com/scripts/r.pl?RP05+14
37,Wassily Kandinsky,expressionism,Gemeentemuseum,The Hague,http://www.artcyclopedia.com/scripts/r.pl?R805+4
38,Wassily Kandinsky,expressionism,Hammer Museum,California,http://www.artcyclopedia.com/scripts/r.pl?RJ27+135
39,Wassily Kandinsky,expressionism,Harvard University Art Museums,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RL59+642
40,Wassily Kandinsky,expressionism,Hirshhorn Museum and Sculpture Garden,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?RB77+844
41,Wassily Kandinsky,expressionism,Hyde Collection Art Museum,"Glens Falls, New York",http://www.artcyclopedia.com/scripts/r.pl?R720+31
42,Wassily Kandinsky,expressionism,Indianapolis Museum of Art,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R122+723
43,Wassily Kandinsky,expressionism,Johnson Museum of Art at Cornell University,"Ithaca, New York",http://www.artcyclopedia.com/scripts/r.pl?R052+56
44,Wassily Kandinsky,expressionism,Kunsthaus Zurich,,http://www.artcyclopedia.com/scripts/r.pl?R559+35
45,Wassily Kandinsky,expressionism,Kunstmuseum Basel,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?R302+120
46,Wassily Kandinsky,expressionism,Kunstsammlung Nordrhein-Westfalen,"Dusseldorf, Germany",http://www.artcyclopedia.com/scripts/r.pl?R887+1
47,Wassily Kandinsky,expressionism,Lenbach House,"Munich, Germany ",http://www.artcyclopedia.com/scripts/r.pl?R829+9
48,Wassily Kandinsky,expressionism,Lille Metropole Musee d'Art Moderne,France ,http://www.artcyclopedia.com/scripts/r.pl?RA58+12
49,Wassily Kandinsky,expressionism,Los Angeles County Museum of Art,,http://www.artcyclopedia.com/scripts/r.pl?RE85+1167
50,Wassily Kandinsky,expressionism,Memphis Brooks Museum of Art,"Memphis, Tennessee",http://www.artcyclopedia.com/scripts/r.pl?RP27+9
51,Wassily Kandinsky,expressionism,Mildred Lane Kemper Art Museum,"St. Louis, Missouri",http://www.artcyclopedia.com/scripts/r.pl?R359+376
52,Wassily Kandinsky,expressionism,Milwaukee Art Museum,Wisconsin,http://www.artcyclopedia.com/scripts/r.pl?R365+27
53,Wassily Kandinsky,expressionism,Minneapolis Institute of Arts,Minnesota,http://www.artcyclopedia.com/scripts/r.pl?R603+433
54,Wassily Kandinsky,expressionism,MUMOK - Museum Moderner Kunst Stiftung Ludwig Wien,Vienna,http://www.artcyclopedia.com/scripts/r.pl?RE17+22
55,Wassily Kandinsky,expressionism,Museo Ca' Pesaro,Venice ,http://www.artcyclopedia.com/scripts/r.pl?R144+3
56,Wassily Kandinsky,expressionism,Museo Ca' Pesaro,Venice ,http://www.artcyclopedia.com/scripts/r.pl?R144+4
57,Wassily Kandinsky,expressionism,Museo di Arte Moderna e Contemporanea,"Trento, Italy ",http://www.artcyclopedia.com/scripts/r.pl?R811+59
58,Wassily Kandinsky,expressionism,Museo Nacional de Bellas Artes,"Buenos Aires, Argentina ",http://www.artcyclopedia.com/scripts/r.pl?RK48+25
59,Wassily Kandinsky,expressionism,Museum Boijmans Van Beuningen,Rotterdam,http://www.artcyclopedia.com/scripts/r.pl?R158+15
60,Wassily Kandinsky,expressionism,Museum of Modern Art,New York City ,http://www.artcyclopedia.com/scripts/r.pl?RH44+130
61,Wassily Kandinsky,expressionism,National Gallery of Armenia,"Yerevan, Armenia",http://www.artcyclopedia.com/scripts/r.pl?RM92+113
62,Wassily Kandinsky,expressionism,National Gallery of Armenia,"Yerevan, Armenia",http://www.artcyclopedia.com/scripts/r.pl?RM92+127
63,Wassily Kandinsky,expressionism,North Carolina Museum of Art,Raleigh,http://www.artcyclopedia.com/scripts/r.pl?R127+391
64,Wassily Kandinsky,expressionism,Palazzo Ruspoli,Rome ,http://www.artcyclopedia.com/scripts/r.pl?RD20+36
65,Wassily Kandinsky,expressionism,Palazzo Ruspoli,Rome ,http://www.artcyclopedia.com/scripts/r.pl?RD20+5
66,Wassily Kandinsky,expressionism,Philadelphia Museum of Art,,http://www.artcyclopedia.com/scripts/r.pl?R077+385
67,Wassily Kandinsky,expressionism,Portland Museum of Art,Maine,http://www.artcyclopedia.com/scripts/r.pl?R072+33
68,Wassily Kandinsky,expressionism,Princeton University Art Museum,New Jersey,http://www.artcyclopedia.com/scripts/r.pl?RF35+803
69,Wassily Kandinsky,expressionism,Pushkin Museum of Fine Arts,Moscow,http://www.artcyclopedia.com/scripts/r.pl?R243+15
70,Wassily Kandinsky,expressionism,Saint Louis Art Museum,Missouri,http://www.artcyclopedia.com/scripts/r.pl?R381+89
71,Wassily Kandinsky,expressionism,Santa Barbara Museum of Art,California,http://www.artcyclopedia.com/scripts/r.pl?R654+25
72,Wassily Kandinsky,expressionism,Staatsgalerie Stuttgart,,http://www.artcyclopedia.com/scripts/r.pl?R240+90
73,Wassily Kandinsky,expressionism,State Museum of Contemporary Art,"Thessaloniki, Greece",http://www.artcyclopedia.com/scripts/r.pl?R085+4
74,Wassily Kandinsky,expressionism,Stedelijk Museum of Modern Art,Amsterdam,http://www.artcyclopedia.com/scripts/r.pl?R334+7
75,Wassily Kandinsky,expressionism,Studio Esseci,Italy ,http://www.artcyclopedia.com/scripts/r.pl?RL97+43
76,Wassily Kandinsky,expressionism,Tel Aviv Museum of Art,Israel,http://www.artcyclopedia.com/scripts/r.pl?R986+53
77,Wassily Kandinsky,expressionism,The Albertina,Vienna,http://www.artcyclopedia.com/scripts/r.pl?RA09+28
78,Wassily Kandinsky,expressionism,The Art Gallery at the University of Maryland,,http://www.artcyclopedia.com/scripts/r.pl?R354+6
79,Wassily Kandinsky,expressionism,The Jewish Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R391+84
80,Wassily Kandinsky,expressionism,Thyssen-Bornemisza Museum,Madrid,http://www.artcyclopedia.com/scripts/r.pl?R425+173
81,Wassily Kandinsky,expressionism,University of Iowa Museum of Art,Iowa City,http://www.artcyclopedia.com/scripts/r.pl?RR33+119
82,Wassily Kandinsky,expressionism,Van Abbemuseum,Netherlands,http://www.artcyclopedia.com/scripts/r.pl?R665+11
83,Wassily Kandinsky,expressionism,Van Abbemuseum,Netherlands,http://www.artcyclopedia.com/scripts/r.pl?R665+26
84,Wassily Kandinsky,expressionism,Virtual Museum of Canada,,http://www.artcyclopedia.com/scripts/r.pl?R554+34
85,Wassily Kandinsky,expressionism,Von der Heydt-Museum,"Wuppertal, Germany ",http://www.artcyclopedia.com/scripts/r.pl?RI97+62
86,Wassily Kandinsky,expressionism,Walker Art Center,Minnesota,http://www.artcyclopedia.com/scripts/r.pl?R581+37
87,Wassily Kandinsky,expressionism,Wallraf-Richartz-Museum,"Cologne, Germany ",http://www.artcyclopedia.com/scripts/r.pl?RB87+138
88,Franz Marc,expressionism,Art Institute of Chicago,,http://www.artcyclopedia.com/scripts/r.pl?R054+262
89,Franz Marc,expressionism,Fine Arts Museums of San Francisco,,http://www.artcyclopedia.com/scripts/r.pl?RA87+334
90,Franz Marc,expressionism,Franz Marc Museum,"Kochel am See, Germany",http://www.artcyclopedia.com/scripts/r.pl?RK10+0
91,Franz Marc,expressionism,Guggenheim Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+354
92,Franz Marc,expressionism,Metropolitan Museum of Art,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Marc%2c+Franz%24Franz+Marc&pg=1
93,Franz Marc,expressionism,Museum of Fine Arts,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO37+285
94,Franz Marc,expressionism,Museum of Modern Art,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+675
95,Franz Marc,expressionism,National Gallery of Art,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.4808.html?artobj_artistId=4808&pageNumber=1
96,Franz Marc,expressionism,Norton Simon Museum,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+223
97,Franz Marc,expressionism,San Francisco Museum of Modern Art,,http://www.artcyclopedia.com/scripts/r.pl?R498+390
98,Franz Marc,expressionism,Städel Museum,"Frankfurt, Germany",http://www.artcyclopedia.com/scripts/r.pl?RB28+47
99,Franz Marc,expressionism,Albright-Knox Art Gallery,"Buffalo, New York",http://www.artcyclopedia.com/scripts/r.pl?R649+55
100,Franz Marc,expressionism,Ball State Museum of Art,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R737+57
101,Franz Marc,expressionism,Block Museum of Art at Northwestern University,Illinois,http://www.artcyclopedia.com/scripts/r.pl?R301+169
102,Franz Marc,expressionism,Brooklyn Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R132+294
103,Franz Marc,expressionism,Cleveland Museum of Art,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R007+367
104,Franz Marc,expressionism,Folkwang Museum,"Essen, Germany ",http://www.artcyclopedia.com/scripts/r.pl?RA11+17
105,Franz Marc,expressionism,Harvard University Art Museums,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RL66+662
106,Franz Marc,expressionism,Indianapolis Museum of Art,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R122+890
107,Franz Marc,expressionism,Kunsthalle Mannheim,Germany ,http://www.artcyclopedia.com/scripts/r.pl?R034+21
108,Franz Marc,expressionism,Kunstmuseum Basel,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?R302+146
