,artist,style,museum_name,museum_location,museum_link
0,Claude Monet,impressionism,Art Institute of Chicago,,http://www.artcyclopedia.com/scripts/r.pl?R054+383
1,Claude Monet,impressionism,Dallas Museum of Art,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+104
2,Claude Monet,impressionism,Claude Monet at the Detroit Institute of Arts,Michigan,http://www.artcyclopedia.com/scripts/r.pl?R223+407
3,Claude Monet,impressionism,Fine Arts Museums of San Francisco,,http://www.artcyclopedia.com/scripts/r.pl?RA87+192
4,Claude Monet,impressionism,Fitzwilliam Museum at the University of Cambridge,UK,http://www.artcyclopedia.com/scripts/r.pl?RA12+365
5,Claude Monet,impressionism,Fitzwilliam Museum PHAROS Website,"Cambridge, UK",http://www.artcyclopedia.com/scripts/r.pl?RB58+26
6,Claude Monet,impressionism,Guggenheim Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+313
7,Claude Monet,impressionism,Hermitage Museum,"Saint Petersburg, Russia",http://www.artcyclopedia.com/scripts/r.pl?R126+619
8,Claude Monet,impressionism,J. Paul Getty Museum,Los Angeles,http://www.artcyclopedia.com/scripts/r.pl?R011+197
9,Claude Monet,impressionism,Louvre Museum Graphic Art Database,Paris ,http://arts-graphiques.louvre.fr/fo/visite?srv=mtr&quicksearchinput=MONET+CLAUDE&radiobutton=oeuvre
10,Claude Monet,impressionism,Metropolitan Museum of Art,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Monet%2c+Claude%24Claude+Monet&pg=1
11,Claude Monet,impressionism,Musée d'Orsay,Paris,http://www.artcyclopedia.com/r/monet_claude.html
12,Claude Monet,impressionism,Musée Marmottan Monet,Paris,http://www.artcyclopedia.com/scripts/r.pl?R807+1
13,Claude Monet,impressionism,Museum of Fine Arts,"Houston, Texas",http://www.artcyclopedia.com/scripts/r.pl?R117+151
14,Claude Monet,impressionism,Museum of Fine Arts,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO38+1160
15,Claude Monet,impressionism,Museum of Fine Arts,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO38+184
16,Claude Monet,impressionism,Museum of Fine Arts,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO38+924
17,Claude Monet,impressionism,Museum of Modern Art,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+1512
18,Claude Monet,impressionism,Museum of Modern Art,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+738
19,Claude Monet,impressionism,National Galleries of Scotland,Edinburgh,http://www.artcyclopedia.com/scripts/r.pl?RK91+429
20,Claude Monet,impressionism,National Gallery,"London, UK",http://www.nationalgallery.org.uk/artists/claude-monet
21,Claude Monet,impressionism,National Gallery of Art,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1726.html?artobj_artistId=1726&pageNumber=1
22,Claude Monet,impressionism,National Gallery of Australia,Canberra,http://www.nga.gov.au/International/Catalogue/Default.cfm?MnuID=SRCH&GalID=ALL&ArtistIRN=13769&Alpha=M
23,Claude Monet,impressionism,National Gallery of Australia,Canberra,http://www.nga.gov.au/MonetJapan/Default.cfm
24,Claude Monet,impressionism,National Gallery of Canada,Ottawa,http://www.artcyclopedia.com/scripts/r.pl?R487+192
25,Claude Monet,impressionism,Nelson-Atkins Museum of Art,Missouri,http://www.artcyclopedia.com/scripts/r.pl?R013+10
26,Claude Monet,impressionism,Nelson-Atkins Museum of Art,Missouri,http://www.artcyclopedia.com/scripts/r.pl?R013+59
27,Claude Monet,impressionism,Neue Pinakothek,"Munich, Germany",http://www.artcyclopedia.com/scripts/r.pl?RC14+30
28,Claude Monet,impressionism,Norton Simon Museum,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+243
29,Claude Monet,impressionism,Réunion des Musées Nationaux,France ,http://www.artcyclopedia.com/scripts/r.pl?RP02+134
30,Claude Monet,impressionism,Rijksmuseum,Amsterdam,http://www.artcyclopedia.com/scripts/r.pl?R682+18
31,Claude Monet,impressionism,Städel Museum,"Frankfurt, Germany",http://www.artcyclopedia.com/scripts/r.pl?RB28+54
32,Claude Monet,impressionism,Tate Gallery,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+316
33,Claude Monet,impressionism,Yale University Art Gallery,"New Haven, Connecticut",http://www.artcyclopedia.com/scripts/r.pl?RH51+82
34,Claude Monet,impressionism,Aberdeen Art Gallery and Museums,Scotland,http://www.artcyclopedia.com/scripts/r.pl?R787+42
35,Claude Monet,impressionism,Albright-Knox Art Gallery,"Buffalo, New York",http://www.artcyclopedia.com/scripts/r.pl?R649+57
36,Claude Monet,impressionism,Allen Art Museum at Oberlin College,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R061+208
37,Claude Monet,impressionism,Allen Art Museum at Oberlin College,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R061+209
38,Claude Monet,impressionism,Amgueddfa Cymru - National Museum Wales,Cardiff,http://www.artcyclopedia.com/scripts/r.pl?R703+131
39,Claude Monet,impressionism,Art Collection of the Biblioteca Luis Ángel Arango,Colombia,http://www.artcyclopedia.com/scripts/r.pl?RH21+48
40,Claude Monet,impressionism,Art Gallery of New South Wales,"Sydney, Australia",http://www.artcyclopedia.com/scripts/r.pl?R908+178
41,Claude Monet,impressionism,Art Gallery of Ontario,Toronto,http://www.artcyclopedia.com/scripts/r.pl?R673+16
42,Claude Monet,impressionism,Art Gallery of Ontario,Toronto,http://www.artcyclopedia.com/scripts/r.pl?R673+97
43,Claude Monet,impressionism,Art Gallery of Ontario,Toronto ,http://www.artcyclopedia.com/scripts/r.pl?RH61+7
44,Claude Monet,impressionism,Arthur Ross Gallery at the University of Pennsylvania,Philadelphia,http://www.artcyclopedia.com/scripts/r.pl?R732+13
45,Claude Monet,impressionism,Ashmolean Museum at the University of Oxford,UK,http://www.artcyclopedia.com/scripts/r.pl?RF15+312
46,Claude Monet,impressionism,Barber Institute of Fine Arts,"Birmingham, UK",http://www.artcyclopedia.com/scripts/r.pl?R322+15
47,Claude Monet,impressionism,Beyeler Foundation Collection,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?RA13+2
48,Claude Monet,impressionism,Brooklyn Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R132+21
49,Claude Monet,impressionism,Brooklyn Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R132+356
50,Claude Monet,impressionism,Carnegie Museum of Art,"Pittsburgh, Pennsylvania",http://www.artcyclopedia.com/scripts/r.pl?R083+191
51,Claude Monet,impressionism,Chichu Art Museum,"Naoshima, Japan",http://www.artcyclopedia.com/scripts/r.pl?RR60+3
52,Claude Monet,impressionism,Cincinnati Art Museum,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R005+116
53,Claude Monet,impressionism,Clark Art Institute,"Williamstown, Massachusetts",http://www.artcyclopedia.com/scripts/r.pl?R698+25
54,Claude Monet,impressionism,Clark Art Institute,"Williamstown, Massachusetts",http://www.artcyclopedia.com/scripts/r.pl?R698+58
55,Claude Monet,impressionism,Clark Art Institute,"Williamstown, Massachusetts ",http://www.artcyclopedia.com/scripts/r.pl?RH46+1
56,Claude Monet,impressionism,Cleveland Museum of Art,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R007+204
57,Claude Monet,impressionism,Columbia Museum of Art,South Carolina,http://www.artcyclopedia.com/scripts/r.pl?R645+65
58,Claude Monet,impressionism,Columbus Museum of Art,Ohio,http://www.artcyclopedia.com/scripts/r.pl?RP26+9
59,Claude Monet,impressionism,Corcoran Gallery of Art,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?R341+50
60,Claude Monet,impressionism,Courtauld Institute of Art,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?RH10+1292
61,Claude Monet,impressionism,Currier Gallery of Art,New Hampshire,http://www.artcyclopedia.com/scripts/r.pl?R518+353
62,Claude Monet,impressionism,Davis Museum and Cultural Center,"Wellesley College, Massachusetts",http://www.artcyclopedia.com/scripts/r.pl?RP03+18
63,Claude Monet,impressionism,Dayton Art Institute,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R623+19
64,Claude Monet,impressionism,Dayton Art Institute,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R623+53
65,Claude Monet,impressionism,Dixon Gallery and Gardens,Tennessee,http://www.artcyclopedia.com/scripts/r.pl?RC94+9
66,Claude Monet,impressionism,Dublin City Gallery | The Hugh Lane,"Dublin, Ireland",http://www.artcyclopedia.com/scripts/r.pl?RM47+89
67,Claude Monet,impressionism,Dunedin Public Art Gallery,New Zealand,http://www.artcyclopedia.com/scripts/r.pl?RC59+19
68,Claude Monet,impressionism,E.G. Bührle Collection,Zurich,http://www.artcyclopedia.com/scripts/r.pl?R157+31
69,Claude Monet,impressionism,Five College Museums Collections Database,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RF48+72
70,Claude Monet,impressionism,Folkwang Museum,"Essen, Germany ",http://www.artcyclopedia.com/scripts/r.pl?RA11+18
71,Claude Monet,impressionism,Fondation Bemberg Museum,"Toulouse, France",http://www.artcyclopedia.com/scripts/r.pl?R065+10
