,artist,style,museum_name,museum_location,museum_link
0,Andy Warhol,pop,Andy Warhol Museum,"Pittsburgh, Pennsylvania",http://www.artcyclopedia.com/scripts/r.pl?R029+0
1,Andy Warhol,pop,Art Institute of Chicago,,http://www.artcyclopedia.com/scripts/r.pl?R054+1220
2,Andy Warhol,pop,Dallas Museum of Art,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+45
3,Andy Warhol,pop,Fine Arts Museums of San Francisco,,http://www.artcyclopedia.com/scripts/r.pl?RA87+78
4,Andy Warhol,pop,Guggenheim Bilbao,Spain,http://www.artcyclopedia.com/scripts/r.pl?R611+2
5,Andy Warhol,pop,Guggenheim Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+226
6,Andy Warhol,pop,J. Paul Getty Museum,Los Angeles,http://www.artcyclopedia.com/scripts/r.pl?R011+83
7,Andy Warhol,pop,Metropolitan Museum of Art,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Warhol%2c+Andy%24Andy+Warhol&pg=1
8,Andy Warhol,pop,Museum of Fine Arts,"Houston, Texas",http://www.artcyclopedia.com/scripts/r.pl?R117+53
9,Andy Warhol,pop,Museum of Fine Arts,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO38+1112
10,Andy Warhol,pop,Museum of Modern Art,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+1190
11,Andy Warhol,pop,Museum of Modern Art,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+1574
12,Andy Warhol,pop,National Galleries of Scotland,Edinburgh,http://www.artcyclopedia.com/scripts/r.pl?RK91+672
13,Andy Warhol,pop,National Gallery of Art,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1966.html?artobj_artistId=1966&pageNumber=1
14,Andy Warhol,pop,National Gallery of Australia,Canberra,http://www.nga.gov.au/International/Catalogue/Default.cfm?MnuID=SRCH&GalID=ALL&ArtistIRN=12079&Alpha=W
15,Andy Warhol,pop,National Gallery of Australia,Canberra,http://www.nga.gov.au/InternationalPrints/Tyler/Default.cfm?MnuID=3&ArtistIRN=12079&List=True
16,Andy Warhol,pop,National Gallery of Australia,Canberra,http://www.nga.gov.au/warhol/
17,Andy Warhol,pop,National Gallery of Canada,Ottawa,http://www.artcyclopedia.com/scripts/r.pl?R487+325
18,Andy Warhol,pop,Norton Simon Museum,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+362
19,Andy Warhol,pop,Peggy Guggenheim Collection,Venice,http://www.artcyclopedia.com/scripts/r.pl?R622+129
20,Andy Warhol,pop,San Francisco Museum of Modern Art,,http://www.artcyclopedia.com/scripts/r.pl?R498+360
21,Andy Warhol,pop,Andy Warhol at the Smithsonian American Art Museum,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?R209+898
22,Andy Warhol,pop,Tate Gallery,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+552
23,Andy Warhol,pop,Whitney Museum of American Art,New York City,http://www.artcyclopedia.com/scripts/r.pl?R082+13
24,Andy Warhol,pop,Yale University Art Gallery,"New Haven, Connecticut",http://www.artcyclopedia.com/scripts/r.pl?RH51+69
25,Andy Warhol,pop,Ackland Art Museum at the University of North Carolina,,http://www.artcyclopedia.com/scripts/r.pl?R051+43
26,Andy Warhol,pop,Ackland Art Museum at the University of North Carolina,,http://www.artcyclopedia.com/scripts/r.pl?R051+92
27,Andy Warhol,pop,Akron Art Museum,Ohio,http://www.artcyclopedia.com/scripts/r.pl?RR76+182
28,Andy Warhol,pop,Albright-Knox Art Gallery,"Buffalo, New York",http://www.artcyclopedia.com/scripts/r.pl?R649+78
29,Andy Warhol,pop,Allen Art Museum at Oberlin College,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R061+172
30,Andy Warhol,pop,Allen Art Museum at Oberlin College,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R061+254
31,Andy Warhol,pop,Astrup Fearnley Museum of Modern Art,Norway,http://www.artcyclopedia.com/scripts/r.pl?R643+9
32,Andy Warhol,pop,Ball State Museum of Art,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R737+194
33,Andy Warhol,pop,Beyeler Foundation Collection,Switzerland,http://www.artcyclopedia.com/scripts/r.pl?RA13+6
34,Andy Warhol,pop,Bibliotheque Nationale de France,,http://www.artcyclopedia.com/scripts/r.pl?RF02+19
35,Andy Warhol,pop,Block Museum of Art at Northwestern University,Illinois,http://www.artcyclopedia.com/scripts/r.pl?R301+97
36,Andy Warhol,pop,Broad Art Foundation,,http://www.artcyclopedia.com/scripts/r.pl?RB07+70
37,Andy Warhol,pop,Bruce Museum of Arts and Science,Connecticut,http://www.artcyclopedia.com/scripts/r.pl?RA93+22
38,Andy Warhol,pop,Bruce Museum of Arts and Science,Connecticut,http://www.artcyclopedia.com/scripts/r.pl?RA93+40
39,Andy Warhol,pop,Canton Museum of Art,Ohio,http://www.artcyclopedia.com/scripts/r.pl?RP31+260
40,Andy Warhol,pop,Chazen Museum of Art at the University of Wisconsin,,http://www.artcyclopedia.com/scripts/r.pl?RB32+52
41,Andy Warhol,pop,Cheekwood Museum of Art,Tennessee,http://www.artcyclopedia.com/scripts/r.pl?R312+2
42,Andy Warhol,pop,Chrysler Museum,"Norfolk, Virginia",http://www.artcyclopedia.com/scripts/r.pl?R004+11
43,Andy Warhol,pop,Clay Center for the Arts & Sciences,"Charleston, West Virginia",http://www.artcyclopedia.com/scripts/r.pl?RJ12+75
44,Andy Warhol,pop,Cleveland Museum of Art,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R075+53
